Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production (GO:0001818),7/178,0.0064625687449468,0.068769731137554,0,0,3.3684210526315788,16.98266408989713,CLEC4A;PTPRC;SLC11A1;IRAK3;PTPN6;ATP2B1;THBS1
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),13/480,0.0064922473451537,0.068769731137554,0,0,2.314332127298236,11.657630044432954,MEF2C;TGFB1;SLC11A1;TESC;RAB27A;HIF1A;THBS1;EREG;FGR;CLEC7A;EIF3E;RPL26;SLC38A2
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),9/272,0.0065451656348362,0.0689653768470637,0,0,2.826383965972804,14.213965722753018,FGR;CDC42;TGFB1;PTPRC;GLIPR2;CLEC7A;NUMB;HIF1A;THBS1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),13/482,0.0067128987440909,0.0703624255794244,0,0,2.3042239541210203,11.529701663072904,CDKN2D;NOTCH2;CX3CR1;MEF2C;SET;BCL2A1;YWHAZ;THBS1;FLNA;CTNNB1;ADAM8;EVI2B;CD44
GO_Biological_Process_2023,Cell Junction Organization (GO:0034330),4/62,0.0070325567460772,0.0729491119463559,0,0,5.636571755615968,27.94164139959437,CDC42;VMP1;TGFB1;CAPZA1
GO_Biological_Process_2023,Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),4/62,0.0070325567460772,0.0729491119463559,0,0,5.636571755615968,27.94164139959437,TNFSF10;S100A9;CTSS;S100A8
GO_Biological_Process_2023,Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),5/98,0.0071443527274454,0.0737267740224014,0,0,4.404569892473118,21.764887293570293,RAP1B;TGFB1;CLEC7A;NRG1;LCP1
GO_Biological_Process_2023,Epithelial Tube Morphogenesis (GO:0060562),3/33,0.0075547680008757,0.0742686936156039,0,0,8.150826446280991,39.82148525922902,MEF2C;CTNNB1;RHOB
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),3/33,0.0075547680008757,0.0742686936156039,0,0,8.150826446280991,39.82148525922902,FKBP1A;TGFB1;NRG1
GO_Biological_Process_2023,Regulation Of Cell Adhesion Mediated By Integrin (GO:0033628),3/33,0.0075547680008757,0.0742686936156039,0,0,8.150826446280991,39.82148525922902,TESC;CYP1B1;NRG1
GO_Biological_Process_2023,Actin Crosslink Formation (GO:0051764),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,FLNA;LCP1
GO_Biological_Process_2023,Regulation Of Pseudopodium Assembly (GO:0031272),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,CDC42;CDC42EP3
GO_Biological_Process_2023,Dosage Compensation By Inactivation Of X Chromosome (GO:0009048),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,SMCHD1;HNRNPU
GO_Biological_Process_2023,Lipoprotein Transport (GO:0042953),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,VMP1;PRKCB
GO_Biological_Process_2023,Negative Regulation Of Fibrinolysis (GO:0051918),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,NRG1;THBS1
GO_Biological_Process_2023,Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,TGFB1;LILRB2
GO_Biological_Process_2023,"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900152)",2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,HNRNPU;TOB1
GO_Biological_Process_2023,Positive Regulation Of Pseudopodium Assembly (GO:0031274),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,CDC42;CDC42EP3
GO_Biological_Process_2023,Regulation Of Cell Activation (GO:0050865),2/11,0.0076420334089982,0.0742686936156039,0,0,18.05761316872428,88.0144599070267,NRG1;LILRA2
GO_Biological_Process_2023,Positive Regulation Of Interleukin-1 Production (GO:0032732),4/64,0.0078597520672554,0.076015573133553,0,0,5.448132780082988,26.401652632591272,CLEC7A;MNDA;LCP1;LILRA2
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),8/232,0.007998530704734,0.076985858033065,0,0,2.9431886678722123,14.211178877852385,FKBP1A;PRKCB;CLEC7A;EEF1D;TNFSF10;S100A12;FLNA;S100A4
GO_Biological_Process_2023,Cellular Response To Hydrogen Peroxide (GO:0070301),3/34,0.008212004217439,0.0782877735395856,0,0,7.887496667555318,37.877007322162,CYP1B1;FYN;RHOB
GO_Biological_Process_2023,Positive Regulation Of Neuron Death (GO:1901216),3/34,0.008212004217439,0.0782877735395856,0,0,7.887496667555318,37.877007322162,ITGAM;CTNNB1;FYN
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),4/65,0.0082962952741138,0.0787165077667101,0,0,5.358547037616488,25.67786920199124,S100A12;NRG1;RPL39;S100A9
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),9/283,0.0083836114925736,0.0791697651327003,0,0,2.71138500556724,12.964423663867738,MEF2C;CEBPB;BTG1;TGFB1;GLIPR2;CTNNB1;ADAM8;LCP1;ZFP36L1
